Player,Goal-Scoring Efficiency,Creativity Efficiency,Dribbling and Ball Carrying Efficiency,Defending Efficiency,Pos,Squad,Age,Gls,SoT,SoT(Per),G-xG,Big Chances Missed,GCA,Assists,xA,KP,PPA,CrsPA,SCA,Tackles TklW,Tackles Won (Per),Pressures Succ,Blocks and Interceptions,Clearances,Mistake To Goal,Mistake To Goal,Recoveries,Aerial Duels Won%,Dribbles Succ(Per),SCA Drib,GCA Drib,Carry PrgDist,Carries Final Third,Carry into box,Minutes Played
Antonee Robinson,0.205,0.604,0.976,0.908,FB,Fulham,22,0,4,36.4,-0.6,1.5,2,0,1.6,28,43,25,53,27,0.56,84,96,83,0,1.5,219,58.2,70.6,1,0,4055,76,6,2162
Ahmed Elmohamady,0.264,0.93,0.496,1,FB,Aston Villa,32,0,1,11.1,-0.5,1.5,1,0,0.6,13,26,8,21,13,0.72,28,42,32,0,1.5,97,75,80,0,0,837,15,2,839
HÃ©ctor BellerÃ­n,0.742,0.48,0.629,0.834,FB,Arsenal,25,1,5,33.3,0.2,1.5,7,2,2.4,22,29,9,41,18,0.53,62,63,41,0,1.5,208,47.8,51.6,0,0,2763,33,13,2089
Sergio ReguilÃ³n,0.79,0.445,0.558,0.877,FB,Tottenham,23,0,4,19,-1.6,1.5,8,3,1.7,17,27,16,41,27,0.53,112,88,64,0,1.5,215,49.2,52.9,2,0,2684,35,8,2244
Kyle Walker-Peters,0.586,0.38,0.768,0.921,FB,Southampton,23,0,7,36.8,-1.1,1.5,7,2,1.4,17,16,2,42,43,0.52,126,110,68,1,1,275,33.9,66.7,3,0,4078,59,22,2645
Matt Ritchie,0.656,0.71,0.512,0.742,FB,Newcastle Utd,30,0,1,9.1,-0.4,1.5,4,2,1.5,24,18,13,40,9,0.53,32,54,43,0,1.5,103,41.7,75,0,0,1156,25,1,1350
SÃ©amus Coleman,0.687,0.498,0.596,0.84,FB,Everton,31,0,4,33.3,-1.2,1.5,5,3,1.9,18,14,5,33,26,0.67,73,59,38,1,1,155,50,51.3,4,0,1731,19,5,1613
Luke Ayling,0.261,0.352,1,1,FB,Leeds United,28,0,6,24,-1.4,1.5,4,0,2.6,25,35,12,49,67,0.59,187,139,111,2,0.5,404,51.8,62.3,3,0,8246,73,8,3399
CÃ©sar Azpilicueta,0.405,0.479,0.702,0.932,FB,Chelsea,30,1,4,36.4,0.2,1.5,4,2,2.6,26,25,5,42,31,0.6,106,74,97,1,1,243,54.7,50,0,0,3612,37,1,2188
NÃ©lson Semedo,0.371,0.465,0.823,0.846,FB,Wolves,26,1,11,47.8,-0.9,1,5,1,1.1,20,24,14,58,53,0.62,164,99,89,0,1.5,263,50.6,62.2,2,0,5023,83,10,2983
Oleksandr Zinchenko,0.3,0.487,0.793,0.866,FB,Manchester City,23,0,4,25,-0.7,1.5,2,0,1.3,13,14,0,30,13,0.62,45,46,49,0,1.5,153,63.2,45.5,0,0,2481,38,2,1478
Ricardo Pereira,0.462,0.48,0.5,1,FB,Leicester City,26,0,4,57.1,-0.4,1.5,2,1,0.5,9,11,1,19,18,0.49,69,44,26,0,1.5,88,45.8,52.6,0,0,955,15,6,959
Ben Davies,0.658,0.305,0.791,0.636,FB,Tottenham,27,0,0,0,-0.2,1.5,4,1,0.6,7,9,4,17,13,0.5,42,37,72,0,1.5,101,63,55.6,1,1,1391,18,4,1346
Luke Thomas,0.777,0.348,0.331,0.929,FB,Leicester City,19,1,3,37.5,0.7,1.5,3,0,0.2,5,7,2,14,8,0.35,59,44,26,0,1.5,82,40,58.8,0,0,639,5,4,969
VladimÃ­r Coufal,0.508,0.607,0.362,0.889,FB,West Ham,27,0,5,33.3,-1.2,0.5,7,7,4.6,46,40,23,71,41,0.53,126,113,122,1,1,322,54.3,66.7,1,0,2418,31,8,3054
Kenny Tete,0.299,0.507,0.518,0.93,FB,Fulham,24,0,2,28.6,-0.2,1.5,2,1,1.6,17,25,19,30,29,0.49,79,59,61,0,1.5,151,52.9,42.1,0,0,1649,24,3,1481
Matt Targett,0.455,0.572,0.312,0.883,FB,Aston Villa,24,0,2,33.3,-0.2,1.5,7,2,3.1,44,53,15,80,57,0.59,131,128,126,1,1,355,60.9,76.2,0,0,2399,29,4,3404
Matt Doherty,0.357,0.431,0.522,0.887,FB,Tottenham,28,0,1,33.3,-0.4,1.5,2,2,0.8,11,14,7,22,8,0.35,38,59,54,0,1.5,114,70.1,43.8,1,0,1313,21,1,1240
Patrick van Aanholt,0.374,0.439,0.527,0.853,FB,Crystal Palace,29,0,6,33.3,-1.2,1.5,3,1,0.8,11,26,4,26,19,0.58,69,65,40,1,1,179,47.6,42.9,1,0,1907,30,9,1777
JoÃ«l Veltman,0.194,0.46,0.534,1,FB,Brighton,28,1,4,28.6,-0.4,1.5,1,1,1.1,21,35,13,41,41,0.53,92,70,84,0,1.5,274,57.8,63.6,0,0,2651,37,5,2281
Erik Pieters,0.525,0.283,0.333,0.976,FB,Burnley,31,0,3,75,-0.2,1.5,3,1,0.5,6,4,1,15,27,0.68,55,54,42,0,1.5,129,62.5,75,0,0,868,14,3,1266
Charlie Taylor,0.274,0.309,0.593,0.877,FB,Burnley,26,0,2,66.7,-0.1,1.5,3,1,1.8,15,25,19,29,25,0.54,71,95,96,1,1,250,63.9,58.7,0,0,2493,52,5,2426
Matty Cash,0.187,0.374,0.482,1,FB,Aston Villa,22,0,2,22.2,-0.3,1.5,2,2,2.2,22,24,16,33,44,0.56,127,126,110,2,0.5,228,48.8,62.5,2,0,2290,37,7,2372
Ki-Jana Hoever,0,0.29,0.796,0.918,FB,Wolves,18,0,0,0,-0.1,1.5,0,0,0.2,3,3,1,7,10,0.56,29,17,19,0,1.5,63,42.1,50,0,0,940,16,2,577
Conor Townsend,0.397,0.425,0.394,0.789,FB,West Brom,27,0,4,36.4,-1,0.5,4,2,2.1,22,25,15,39,32,0.57,93,85,65,1,1,187,56.3,46.2,0,0,2011,17,5,2234
Ola Aina,0.419,0.236,0.537,0.803,FB,Fulham,23,2,4,28.6,1,1.5,4,1,1.4,14,15,9,26,25,0.53,65,100,121,0,1.5,250,43.4,61.8,0,0,3336,35,5,2664
Matthew Lowton,0.183,0.422,0.445,0.877,FB,Burnley,31,1,4,19,0.3,1.5,2,1,2.3,24,43,10,49,36,0.54,84,121,116,2,0.5,315,61.3,66.7,1,0,2740,48,4,3060
Enda Stevens,0.246,0.333,0.476,0.85,FB,Sheffield Utd,30,0,4,25,-1.1,1.5,3,1,1.6,18,30,8,32,23,0.43,92,107,95,2,0.5,268,49.4,64.4,1,0,2821,32,10,2700
Max Lowe,0,0.311,0.478,1,FB,Sheffield Utd,23,0,1,50,-0.1,1.5,0,0,0.2,3,5,1,7,14,0.61,37,24,12,1,1,43,20.8,70,1,0,355,2,3,550
Ryan Bertrand,0.256,0.311,0.464,0.756,FB,Southampton,30,0,3,37.5,-0.6,1.5,3,1,1.2,13,24,5,33,43,0.61,124,78,56,1,1,210,38.6,71.4,0,0,2498,38,11,2598
Tyrick Mitchell,0.428,0.175,0.227,0.932,FB,Crystal Palace,20,1,2,100,0.6,1.5,3,1,0.4,3,10,6,9,29,0.42,98,81,67,1,1,123,55.2,68.2,0,0,922,9,0,1710
